model,n,interest_beta,robust_se,p_value,adjusted_r2,pct_change_per_1pp_rate
Primary full HMDA sample,58587,-0.03688782898183803,0.0015152366908577383,2.9495393823344267e-130,0.6365413849066546,-3.621576205479027
Linked sample: HMDA controls,4167,-0.0808772837469167,0.008851544441596249,9.840354244643944e-20,0.7029110240639993,-7.769313345689078
Linked sample: + property controls,4167,-0.04053628660291507,0.005840561886069733,4.523337697099337e-12,0.8563571155570024,-3.972568121369502
